Name	control_1	control_2	control_3	NVP64wt_1	NVP64wt_2	NVP64wt_3	NVP64cu_1	NVP64cu_2	NVP64cu_3
jgi|MoeNVP64_1|99756|CE99235_5776	NA	NA	NA	0.007568	0	0.014461	0	0	0.004022
jgi|MoeNVP64_1|9960|CE9439_1878	NA	NA	NA	0.003966	0.004858	0	0	0	0
jgi|MoeNVP64_1|99391|CE98870_795	NA	NA	NA	0.094818	0.232302	0.120781	0.046683	0	0
jgi|MoeNVP64_1|99371|CE98850_666	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|99239|CE98718_401	NA	NA	NA	0	0	0.046619	0	0	0
jgi|MoeNVP64_1|99203|CE98682_12529	NA	NA	NA	0.073064	0	0.093069	0.035972	0.019792	0.038825
jgi|MoeNVP64_1|98579|CE98058_1402	NA	NA	NA	0	0	0.010858	0	0	0.009059
jgi|MoeNVP64_1|98060|CE97539_2590	NA	NA	NA	0	0	0	0.016958	0	0.036607
jgi|MoeNVP64_1|97917|CE97396_14073	NA	NA	NA	0.027578	0	0	0.027156	0	0
jgi|MoeNVP64_1|97901|CE97380_949	NA	NA	NA	0	0	0	0.041757	0	0
jgi|MoeNVP64_1|97865|CE97344_66	NA	NA	NA	0.02851	0.034924	0	0.140365	0	0
jgi|MoeNVP64_1|97764|CE97243_1878	NA	NA	NA	0	0	0.223428	0	0	0.186413
jgi|MoeNVP64_1|97727|CE97206_2212	NA	NA	NA	0	0.006139	0	0	0	0
jgi|MoeNVP64_1|97071|CE96550_1451	NA	NA	NA	0	0	0	0	0.097275	0
jgi|MoeNVP64_1|96670|CE96149_1133	NA	NA	NA	0.036374	0	0.046334	0	0	0
jgi|MoeNVP64_1|96576|CE96055_2814	NA	NA	NA	0	0	0.009251	0	0	0
jgi|MoeNVP64_1|96330|CE95809_802	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|96189|CE95668_2212	NA	NA	NA	0	0	0	0.044675	0	0.012055
jgi|MoeNVP64_1|95953|CE95432_345	NA	NA	NA	0	0	0	0.033372	0	0.054028
jgi|MoeNVP64_1|97466|CE96945_832	NA	NA	NA	0	0	0.003574	0	0	0
jgi|MoeNVP64_1|95597|CE95076_1147	NA	NA	NA	0.098126	0	0.249988	0.193247	0	0.208572
jgi|MoeNVP64_1|95353|CE94832_9565	NA	NA	NA	0.027759	0	0	0	0	0.029502
jgi|MoeNVP64_1|94932|CE94411_554	NA	NA	NA	0.019474	0.007952	0.016538	0.012784	0	0
jgi|MoeNVP64_1|94899|CE94378_7589	NA	NA	NA	0.02851	0.046565	0.012105	0.018715	0	0.0101
jgi|MoeNVP64_1|94864|CE94343_1320	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|94711|CE94190_1955	NA	NA	NA	0.048499	0	0	0.095513	0	0.154631
jgi|MoeNVP64_1|94393|CE93872_202	NA	NA	NA	0	0	0.020206	0	0	0
jgi|MoeNVP64_1|9418|CE8897_430	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|93973|CE93452_1317	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|93855|CE93334_1866	NA	NA	NA	0	0	0	0	0	0
jgi|MoeNVP64_1|93825|CE93304_3674	NA	NA	NA	0.007991	0.009789	0.00509	0	0	0.004246
jgi|MoeNVP64_1|93756|CE93235_25	NA	NA	NA	0	0	0	0	0	0
