Name	CUTOS	CUTOT	CUTOU	CUTOW	CUTOX	CWYAU
jgi|MorGBAus27b_1|99899|CE99898_950	0	0.058243	0.219739	0	0	0.330839
jgi|MorGBAus27b_1|99842|CE99841_3476	0	0.165134	0.088511	0	0	0.057469
jgi|MorGBAus27b_1|99825|CE99824_1448	0	0.056637	0	0.067212	0	1.02838
jgi|MorGBAus27b_1|99612|CE99611_358	0	0.043895	0.135166	0	0	0.048489
jgi|MorGBAus27b_1|99285|CE99284_841	0	0.160274	0.084298	0	0	0.214218
jgi|MorGBAus27b_1|99211|CE99210_1605	0	0.005253	0.008554	0	0	0.037804
jgi|MorGBAus27b_1|99208|CE99207_696	0	0	0	0	0	0
jgi|MorGBAus27b_1|99118|CE99117_10989	0	0	0	0	0	0
jgi|MorGBAus27b_1|99027|CE99026_10597	0	0.31589	0.40809	0	0	0.460026
jgi|MorGBAus27b_1|98970|CE98969_16	0	0	0	0	0	0
jgi|MorGBAus27b_1|98751|CE98750_1351	0	0	0.03015	0	0	0.123457
jgi|MorGBAus27b_1|98481|CE98480_16410	0	0.013061	0.073581	0	0	0.027237
jgi|MorGBAus27b_1|98341|CE98340_469	0	0	0	0	0	0.550172
jgi|MorGBAus27b_1|97807|CE97806_327	0	0.020227	0.128869	0	0	0
jgi|MorGBAus27b_1|97793|CE97792_478	0.022543	0.027346	0.054973	0	0	0.078502
jgi|MorGBAus27b_1|9763|CE9762_698	0	0	0	0	0	0.043631
jgi|MorGBAus27b_1|97588|CE97587_1534	0	0.020621	0	0	0	0.032092
jgi|MorGBAus27b_1|9718|CE9717_43	0	0	0	0	0	0
jgi|MorGBAus27b_1|97073|CE97072_7159	0	0.095508	0.252348	0	0.047846	0.413017
jgi|MorGBAus27b_1|97033|CE97032_2824	0	0.050096	0.200517	0	0	0.192807
jgi|MorGBAus27b_1|96814|CE96813_110	0	0	0	0	0	0
jgi|MorGBAus27b_1|96438|CE96437_2408	0	0.056246	0.209494	0	0	0.088892
jgi|MorGBAus27b_1|95745|CE95744_133	0.047061	0	0	0	0	0.02985
jgi|MorGBAus27b_1|95655|CE95654_2590	0.024275	0.088449	0.35505	0.020486	0	0.169601
jgi|MorGBAus27b_1|95621|CE95620_3614	0	0.022655	0.161814	0	0	0.565003
jgi|MorGBAus27b_1|95514|CE95513_1509	0	0.034719	0.036711	0	0	0.208977
jgi|MorGBAus27b_1|9538|CE9537_64	0	0	0	0	0	0
jgi|MorGBAus27b_1|95001|CE95000_1526	0	0	0	0	0	0
jgi|MorGBAus27b_1|94994|CE94993_1229	0	0.015914	0.058074	0	0	0.10687
jgi|MorGBAus27b_1|94804|CE94803_373	0	0	0.150124	0	0	0
jgi|MorGBAus27b_1|94646|CE94645_1292	0	0.02298	0	0	0	0.219617
jgi|MorGBAus27b_1|94504|CE94503_23267	0.052238	0.308868	0.796086	0	0	1.34167
jgi|MorGBAus27b_1|94039|CE94038_329	0	0.038053	0	0	0	0
jgi|MorGBAus27b_1|93993|CE93992_2957	0	0.018932	0.021627	0	0	0.003883
jgi|MorGBAus27b_1|93685|CE93684_3344	0	0.258821	0.483921	0	0	0.372316
jgi|MorGBAus27b_1|93447|CE93446_11294	0	0.239721	0.384776	0	0.039409	0.705478
jgi|MorGBAus27b_1|93369|CE93368_2729	0.050255	0.13741	0.146977	0	0.026773	0.207794
jgi|MorGBAus27b_1|93317|CE93316_2298	0	0.047468	0.072718	0	0	0.263997
jgi|MorGBAus27b_1|93272|CE93271_1105	0	0	0.031261	0	0	0
jgi|MorGBAus27b_1|93180|CE93179_533	0	0	0.122555	0	0	0.207732
jgi|MorGBAus27b_1|92893|CE92892_492	0	0.149778	0.258755	0	0	0.41893
jgi|MorGBAus27b_1|92799|CE92798_97	0	0.067024	0	0	0	0
jgi|MorGBAus27b_1|92748|CE92747_9855	0	0.3205	0.711425	0	0	0.950362
jgi|MorGBAus27b_1|92538|CE92537_3140	0	0.631219	0.260654	0	0	2.51539
jgi|MorGBAus27b_1|92527|CE92526_11173	0	0.470001	1.04982	0	0.042293	1.24389
jgi|MorGBAus27b_1|92129|CE92128_5705	0.008193	0.123712	0.136044	0	0	0.225734
jgi|MorGBAus27b_1|92110|CE92109_155	0	0	0	0	0	0
jgi|MorGBAus27b_1|92093|CE92092_98	0	0	0.0796	0	0	0
jgi|MorGBAus27b_1|92080|CE92079_415	0	0.008393	0	0	0	0.008811
jgi|MorGBAus27b_1|92079|CE92078_1261	0	0.125728	0.157871	0	0	0.103932
jgi|MorGBAus27b_1|91881|CE91880_619	0	0	0.129766	0	0	0
jgi|MorGBAus27b_1|91756|CE91755_1469	0	0.043867	0.042636	0	0	0.045387
jgi|MorGBAus27b_1|91714|CE91713_7391	0	0	0.093096	0	0.01115	0.081934
jgi|MorGBAus27b_1|91234|CE91233_1206	0	0.037317	0.049417	0	0	0.014372
jgi|MorGBAus27b_1|90770|CE90769_7382	0	0	0.149844	0	0	0.3099
jgi|MorGBAus27b_1|90663|CE90662_236	0	0	0.035778	0	0	0
jgi|MorGBAus27b_1|90655|CE90654_1358	0.031367	0	0	0	0	0
jgi|MorGBAus27b_1|90496|CE90495_5971	0	0.121446	0.505927	0	0	0.390568
jgi|MorGBAus27b_1|90109|CE90108_3351	0	0.135955	0.451771	0	0	0.552452
jgi|MorGBAus27b_1|90018|CE90017_5900	0	0.059311	0.147507	0	0	0.142963
jgi|MorGBAus27b_1|89771|CE89770_2799	0	0	0.113339	0	0	0
jgi|MorGBAus27b_1|89756|CE89755_7735	0	0	0	0	0	0
jgi|MorGBAus27b_1|89562|CE89561_542	0	0.020817	0.06626	0	0	0.066051
jgi|MorGBAus27b_1|89451|CE89450_3909	0	0.019222	0.067702	0	0	0.009902
jgi|MorGBAus27b_1|89336|CE89335_168	0	0.200643	0.60814	0	0	0.788887
jgi|MorGBAus27b_1|89130|CE89129_1238	0	0.310156	0.752836	0.138242	0.030258	0.579512
jgi|MorGBAus27b_1|88949|CE88948_17486	0	0.025527	0.093371	0	0.011184	0.039447
Pp3c5_15010V3.1	0.327842	0	0	0	0	0
Pp3c5_15010V3.2	14.6967	15.0057	18.0309	15.5331	14.5198	4.02147
Pp3c24_9360V3.3	0	1.39525	2.94873	0.625645	1.44145	1.35949
jgi|MorGBAus27b_1|436260|fgenesh1_kg.2_#_1600_#_TRINITY_DN6669_c4_g1_i4	0	0	0	0	0	0.103429
Pp3c5_12730V3.1	0	0	0.249663	0.140962	0.127075	0
Pp3c19_2560V3.1	0.25796	0.127841	0.323246	0.496836	0.457568	0.078328
Pp3c5_25630V3.1	4.73717	3.35285	3.1702	2.7719	4.59188	1.88297
Pp3c5_860V3.1	0.031901	0.073494	0	0.036129	0.075475	0
Pp3c5_1269V3.1	0.296915	0.246202	0.281567	0.117285	0	0.486301
Pp3c5_12370V3.1	0	0	0	0	0	0
Pp3c13_6860V3.2	6193.3	8023.85	6264.84	8120.15	6061.05	3814.4
