Name	CUTOZ	CUTPA	CUTPB	CUTPC	CUTPG	CUTPH
jgi|MoeNVP64_1|9960|CE9439_1878	0	0	0	0.039883	0.013642	0.204859
jgi|MoeNVP64_1|99391|CE98870_795	0	0	0	0.075131	0.25915	1.3286
jgi|MoeNVP64_1|99203|CE98682_12529	0	0	0	1.50232	0.665921	6.74254
jgi|MoeNVP64_1|99016|CE98495_1315	0	0	0	0.302817	0.25184	1.69209
jgi|MoeNVP64_1|98692|CE98171_899	0	0	0	0.052997	0.026703	0.637779
jgi|MoeNVP64_1|98579|CE98058_1402	0	0	0	0.028404	0.014274	0.27863
jgi|MoeNVP64_1|97881|CE97360_731	0	0	0	0	0	0
jgi|MoeNVP64_1|97865|CE97344_66	0.060122	0	0	1.7586	0.984063	5.9944
jgi|MoeNVP64_1|96860|CE96339_982	0	0	0	0.304768	0.287645	1.16653
jgi|MoeNVP64_1|96807|CE96286_716	0	0	0	0.029221	0	0.052126
jgi|MoeNVP64_1|96728|CE96207_456	0	0	0	0.126249	0	0.306388
jgi|MoeNVP64_1|96330|CE95809_802	0	0	0	0.067511	0	0.202305
jgi|MoeNVP64_1|95953|CE95432_345	0	0	0	0.11169	0.054112	0.083472
jgi|MoeNVP64_1|95812|CE95291_4363	0	0	0	0.026101	0.051124	0.125282
jgi|MoeNVP64_1|95731|CE95210_6228	0	0	0	0.433129	0.387361	2.38313
jgi|MoeNVP64_1|97466|CE96945_832	0	0	0	0	0.014577	0.111566
jgi|MoeNVP64_1|95597|CE95076_1147	0	0	0	1.02916	0.513797	16.4834
jgi|MoeNVP64_1|95353|CE94832_9565	0	0	0	0.360836	0.16729	1.54813
jgi|MoeNVP64_1|94949|CE94428_743	0	0	0	0.302362	0.19246	0.94628
jgi|MoeNVP64_1|94864|CE94343_1320	0	0	0	0.281336	0.173135	0.988954
jgi|MoeNVP64_1|94419|CE93898_5575	0	0	0	0.137453	0.333196	1.20766
jgi|MoeNVP64_1|94393|CE93872_202	0	0	0	0	0	0
jgi|MoeNVP64_1|93825|CE93304_3674	0	0	0	0.107156	0.151174	0.912956
jgi|MoeNVP64_1|93756|CE93235_25	0	0	0	0	0	0
