Name	CUTON	CUTOO	CUTOP
Pp3s142_3V3.1	0	0	0
Pp3s169_100V3.1	0	0	0
Pp3s169_50V3.2	0	0	0
Pp3s169_60V3.1	0	0	0
Pp3s169_74V3.1	0	0	0
Pp3s169_90V3.1	0	0	0
Pp3s169_40V3.1	0	0	0
Pp3s169_70V3.1	0	0	0
Pp3s128_50V3.1	97.0132	60.5764	47.1178
Pp3s128_10V3.1	50.1568	35.7207	13.5064
Pp3s128_20V3.1	88.8005	83.9347	45.4821
Pp3s450_10V3.1	0	1.01171	0
Pp3c16_1379V3.1	0.308108	0.259232	0
Pp3c16_19740V3.1	0.36789	0.587559	1.11507
Pp3c16_24810V3.3	0	0	0
Pp3c16_24810V3.1	5.32467	5.20957	1.64164
Pp3c16_17750V3.4	0	0	0
Pp3c16_17750V3.1	2.73822	2.34734	2.84329
Pp3c16_15720V3.3	0	0	0
Pp3c16_1190V3.1	13.8496	12.9197	12.647
Pp3c16_10470V3.12	0	0	0
Pp3c16_10470V3.10	0	1.18885	1.01132
Pp3c16_10470V3.2	0	0	0
Pp3c16_10470V3.8	6.47692	4.80465	2.57134
Pp3c16_24860V3.1	0	0	0
Pp3c16_18060V3.1	2.81458	2.36558	2.75867
Pp3c16_11920V3.1	6.99358	7.62367	8.29931
Pp3c16_21940V3.9	0	0	0
Pp3c16_17710V3.1	99.0401	131.538	112.439
Pp3c16_10570V3.2	1.20612	0.745723	0
Pp3c16_10570V3.1	0.794946	0.606191	0.538655
Pp3c16_17460V3.1	27.4999	24.6886	28.495
Pp3c16_16480V3.1	6.21665	4.48049	2.72579
Pp3c16_11940V3.3	0	0	0
Pp3c16_11940V3.1	8.24157	7.4949	7.03144
Pp3c16_22550V3.1	0	0.106667	0.029591
Pp3c16_7270V3.1	10.8147	9.67173	12.1458
Pp3c16_11150V3.1	2.24429	2.16866	2.70368
Pp3c16_18950V3.3	0	0.440722	0.937813
Pp3c16_21860V3.1	0.614686	0.440682	0.353027
Pp3c16_21860V3.25	4.1967	3.87627	3.50742
Pp3c16_21677V3.1	0.308108	0	0
Pp3c16_2180V3.1	3.99877	3.0094	3.71977
Pp3c16_12020V3.1	0	0	0
Pp3c16_22730V3.1	34.7811	45.9434	49.6059
Pp3c16_16600V3.2	9.31435	13.7439	9.21465
Pp3c16_16600V3.1	15.134	11.0775	8.50307
Pp3c16_6780V3.1	1.09441	1.84505	1.1371
Pp3c16_18880V3.2	0	0	0
Pp3c16_11402V3.1	1.71702	1.89318	1.23177
Pp3c16_7450V3.1	8.39432	8.75747	14.7239
Pp3c16_7450V3.2	7.97502	8.30453	6.58423
Pp3c16_15450V3.1	11.8561	8.82363	5.04545
Pp3c16_6980V3.5	0.125361	0	0
Pp3c16_2580V3.1	8.83541	6.54881	6.66861
Pp3c16_11320V3.1	24.1456	18.6566	19.6532
Pp3c16_2420V3.1	0	0	0
Pp3c16_1460V3.1	0.083187	0.315568	0.027541
Pp3c16_1460V3.2	0	0	0
Pp3c16_1460V3.3	7.61711	6.19068	8.61177
Pp3c16_2190V3.1	0.75786	0.544295	0.59942
Pp3c16_9139V3.1	9.71174	4.19609	4.4313
Pp3c16_25330V3.1	14.0446	10.455	9.47942
Pp3c16_1971V3.1	2.26419	2.7502	1.49477
Pp3c16_18700V3.1	86.9078	73.4535	104.863
Pp3c16_16518V3.1	0.084741	0.256352	0.344216
Pp3c16_12410V3.1	9.42452	7.80748	9.24278
Pp3c16_15970V3.1	0	0	0.235926
Pp3c16_14400V3.2	1.24748	0.713342	2.10617
Pp3c16_14400V3.3	0	0	0.913696
Pp3c16_14400V3.4	0	0	0
Pp3c16_14400V3.1	2.38426	1.90214	0
Pp3c16_11680V3.1	0	1.36849	1.14156
Pp3c16_1360V3.1	2.48239	3.19798	5.02607
Pp3c16_12950V3.1	0	0	0
Pp3c16_12950V3.2	0	0	0
Pp3c16_12950V3.9	4.24946	2.9659	3.70951
Pp3c16_20729V3.1	1.5965	2.7842	1.0411
Pp3c16_10120V3.1	0	0	0
Pp3c16_17860V3.1	0	0	0
Pp3c16_2350V3.1	31.4521	37.6933	52.6619
Pp3c16_19380V3.1	4.71999	4.34039	3.73354
Pp3c16_14910V3.1	7.86627	7.72921	8.85722
Pp3c16_6930V3.2	4.49317	4.97091	1.93956
Pp3c16_16780V3.1	27.6347	23.8987	15.5715
Pp3c16_20720V3.2	0	0	0.131096
Pp3c16_20720V3.3	0	0	0
Pp3c16_21500V3.1	0	0	0
Pp3c16_20180V3.1	5.61361	4.20205	4.15367
Pp3c16_2740V3.1	0	0	0
Pp3c16_8950V3.1	18.005	12.9963	12.1222
Pp3c16_23390V3.2	0.534855	0	0
Pp3c16_8210V3.1	0	0	0
Pp3c16_12230V3.2	0	0	0
Pp3c16_12230V3.1	0	0	0
Pp3c16_2890V3.4	0	0	5.43782
Pp3c16_2890V3.1	8.85652	7.898	4.61658
Pp3c16_16590V3.2	1.27375	1.41801	1.92154
Pp3c16_9851V3.4	0	0	0
Pp3c16_730V3.1	0	0	0
Pp3c16_19180V3.1	0.885791	0.673881	0.200361
Pp3c16_8780V3.1	0	0	0
Pp3c16_2650V3.1	0	0	0
Pp3c16_11390V3.5	0	0	0
Pp3c16_6720V3.3	2.85602	5.79073	1.79855
Pp3c16_6720V3.1	27.8816	28.3706	38.3265
Pp3c16_4250V3.1	0.009796	0	0.012976
Pp3c16_13830V3.1	3.61811	2.59949	3.43176
Pp3c16_15148V3.1	0	0	0
Pp3c16_6220V3.1	0.739291	1.31211	0.260695
Pp3c16_16260V3.9	1.34247	0	1.11693
Pp3c16_16260V3.4	0	0.954416	0
Pp3c16_16260V3.1	0	0	0
Pp3c16_4820V3.1	3.99816	3.35969	4.75296
Pp3c16_21452V3.3	0.13831	0	0
Pp3c16_3450V3.4	0	0.478252	1.52359
Pp3c16_3450V3.1	3.76709	2.27504	3.02364
Pp3c16_21370V3.1	12.8892	15.2873	17.3437
Pp3c16_10660V3.1	3.63255	2.66728	4.12733
Pp3c16_25294V3.1	0.105012	0	0.254941
Pp3c16_23610V3.1	0	0	0
Pp3c16_5320V3.3	0	0	0
Pp3c16_5320V3.5	0.124078	0	0
Pp3c16_5320V3.1	14.6986	12.7262	12.3944
Pp3c16_7610V3.5	0.820188	0.670604	1.41662
Pp3c16_7610V3.4	0	0	0
Pp3c16_18010V3.1	0.095691	0.266719	0
Pp3c16_22301V3.1	2.64119	3.1894	1.88777
Pp3c16_14300V3.2	0.657733	0.203074	3.0642
Pp3c16_10380V3.1	0	0	0
Pp3c16_1000V3.2	10.5349	9.64277	9.85957
Pp3c16_1000V3.1	17.7342	16.2532	21.4222
Pp3c16_21040V3.9	0.673543	0.204996	0.724756
Pp3c16_13550V3.4	0	0	0
Pp3c16_13550V3.2	0	0	0
Pp3c16_13550V3.1	0	0	0
Pp3c16_2530V3.1	0	0	0
Pp3c16_21590V3.1	0	0	0
Pp3c16_20970V3.1	4.6005	3.60943	4.74823
Pp3c16_19330V3.1	0	0	0
Pp3c16_70V3.1	0	0	0
Pp3c16_15310V3.1	0.114614	0	0.279948
Pp3c16_14431V3.1	0.054871	0.082551	0
Pp3c16_12620V3.1	10.5672	9.10186	14.0152
Pp3c16_7280V3.2	0.788012	0.722401	2.04127
Pp3c16_14030V3.3	0	0	0
Pp3c16_14030V3.1	1.70683	1.50822	2.42555
Pp3c16_16391V3.1	5.32276	5.82129	2.63951
Pp3c16_11670V3.5	0.032785	0	0
Pp3c16_11670V3.4	0	0	0.406159
Pp3c16_240V3.1	29.5285	32.0027	24.1385
Pp3c16_15270V3.1	64.902	62.2859	63.4334
Pp3c16_7080V3.1	2.36718	2.09907	2.54706
Pp3c16_21630V3.1	6.60645	5.99853	7.77537
Pp3c16_20190V3.2	0.046955	0	0
Pp3c16_22670V3.7	0.043927	0	0
Pp3c16_13412V3.1	0.143888	0.036968	0.064661
Pp3c16_15060V3.1	15.3564	11.5744	12.6868
Pp3c16_3160V3.1	1.42635	1.77662	1.17568
Pp3c16_19250V3.5	6.10785	10.0248	0
Pp3c16_19250V3.4	0	0	0
Pp3c16_5230V3.7	1.20104	1.07637	2.23031
